reranker_margin_threshold,base_margin_threshold,minimum_base_score,minimum_selected_margin,n,coverage,overall_accuracy,selective_accuracy,abstention_rate,reranker_selection_rate,hybrid_selection_rate,agreement_rate
0.25,0.02,0.95,0.02,252,0.8888888888888888,0.25396825396825395,0.2857142857142857,0.11111111111111116,0.05952380952380952,0.5119047619047619,0.42857142857142855
0.25,0.02,0.95,0.05,252,0.7738095238095238,0.25396825396825395,0.3282051282051282,0.22619047619047616,0.05952380952380952,0.5119047619047619,0.42857142857142855
0.25,0.02,0.95,0.1,252,0.6309523809523809,0.25,0.39622641509433965,0.36904761904761907,0.05952380952380952,0.5119047619047619,0.42857142857142855
0.25,0.04,0.0,0.0,252,1.0,0.26587301587301587,0.26587301587301587,0.0,0.09126984126984126,0.4801587301587302,0.42857142857142855
0.25,0.04,0.0,0.02,252,1.0,0.26587301587301587,0.26587301587301587,0.0,0.09126984126984126,0.4801587301587302,0.42857142857142855
0.25,0.04,0.0,0.05,252,1.0,0.26587301587301587,0.26587301587301587,0.0,0.09126984126984126,0.4801587301587302,0.42857142857142855
0.25,0.04,0.0,0.1,252,1.0,0.26587301587301587,0.26587301587301587,0.0,0.09126984126984126,0.4801587301587302,0.42857142857142855
0.25,0.04,0.9,0.0,252,1.0,0.26587301587301587,0.26587301587301587,0.0,0.09126984126984126,0.4801587301587302,0.42857142857142855
0.25,0.04,0.9,0.02,252,0.9761904761904762,0.26587301587301587,0.27235772357723576,0.023809523809523836,0.09126984126984126,0.4801587301587302,0.42857142857142855
0.25,0.04,0.9,0.05,252,0.9642857142857143,0.26587301587301587,0.2757201646090535,0.0357142857142857,0.09126984126984126,0.4801587301587302,0.42857142857142855
0.25,0.04,0.9,0.1,252,0.9484126984126984,0.26587301587301587,0.2803347280334728,0.051587301587301626,0.09126984126984126,0.4801587301587302,0.42857142857142855
0.25,0.04,0.925,0.0,252,1.0,0.26587301587301587,0.26587301587301587,0.0,0.09126984126984126,0.4801587301587302,0.42857142857142855
0.25,0.04,0.925,0.02,252,0.9325396825396826,0.2619047619047619,0.28085106382978725,0.06746031746031744,0.09126984126984126,0.4801587301587302,0.42857142857142855
0.25,0.04,0.925,0.05,252,0.8968253968253969,0.2619047619047619,0.2920353982300885,0.10317460317460314,0.09126984126984126,0.4801587301587302,0.42857142857142855
0.25,0.04,0.925,0.1,252,0.8134920634920635,0.2619047619047619,0.32195121951219513,0.1865079365079365,0.09126984126984126,0.4801587301587302,0.42857142857142855
0.25,0.04,0.95,0.0,252,1.0,0.26587301587301587,0.26587301587301587,0.0,0.09126984126984126,0.4801587301587302,0.42857142857142855
0.25,0.04,0.95,0.02,252,0.8888888888888888,0.2619047619047619,0.29464285714285715,0.11111111111111116,0.09126984126984126,0.4801587301587302,0.42857142857142855
0.25,0.04,0.95,0.05,252,0.8015873015873016,0.2619047619047619,0.32673267326732675,0.19841269841269837,0.09126984126984126,0.4801587301587302,0.42857142857142855
0.25,0.04,0.95,0.1,252,0.6587301587301587,0.25793650793650796,0.39156626506024095,0.3412698412698413,0.09126984126984126,0.4801587301587302,0.42857142857142855
0.25,0.06,0.0,0.0,252,1.0,0.26587301587301587,0.26587301587301587,0.0,0.11904761904761904,0.4523809523809524,0.42857142857142855
0.25,0.06,0.0,0.02,252,1.0,0.26587301587301587,0.26587301587301587,0.0,0.11904761904761904,0.4523809523809524,0.42857142857142855
0.25,0.06,0.0,0.05,252,1.0,0.26587301587301587,0.26587301587301587,0.0,0.11904761904761904,0.4523809523809524,0.42857142857142855
0.25,0.06,0.0,0.1,252,1.0,0.26587301587301587,0.26587301587301587,0.0,0.11904761904761904,0.4523809523809524,0.42857142857142855
0.25,0.06,0.9,0.0,252,1.0,0.26587301587301587,0.26587301587301587,0.0,0.11904761904761904,0.4523809523809524,0.42857142857142855
0.25,0.06,0.9,0.02,252,0.9761904761904762,0.26587301587301587,0.27235772357723576,0.023809523809523836,0.11904761904761904,0.4523809523809524,0.42857142857142855
0.25,0.06,0.9,0.05,252,0.9642857142857143,0.26587301587301587,0.2757201646090535,0.0357142857142857,0.11904761904761904,0.4523809523809524,0.42857142857142855
0.25,0.06,0.9,0.1,252,0.9484126984126984,0.26587301587301587,0.2803347280334728,0.051587301587301626,0.11904761904761904,0.4523809523809524,0.42857142857142855
0.25,0.06,0.925,0.0,252,1.0,0.26587301587301587,0.26587301587301587,0.0,0.11904761904761904,0.4523809523809524,0.42857142857142855
0.25,0.06,0.925,0.02,252,0.9325396825396826,0.2619047619047619,0.28085106382978725,0.06746031746031744,0.11904761904761904,0.4523809523809524,0.42857142857142855
0.25,0.06,0.925,0.05,252,0.9007936507936508,0.2619047619047619,0.2907488986784141,0.09920634920634919,0.11904761904761904,0.4523809523809524,0.42857142857142855
0.25,0.06,0.925,0.1,252,0.8293650793650794,0.2619047619047619,0.3157894736842105,0.17063492063492058,0.11904761904761904,0.4523809523809524,0.42857142857142855
0.25,0.06,0.95,0.0,252,1.0,0.26587301587301587,0.26587301587301587,0.0,0.11904761904761904,0.4523809523809524,0.42857142857142855
0.25,0.06,0.95,0.02,252,0.8888888888888888,0.2619047619047619,0.29464285714285715,0.11111111111111116,0.11904761904761904,0.4523809523809524,0.42857142857142855
